order_id,Customer_ID,Product_id,total_quantity,Date_purchased,total_sales
TXN000001,CUST0342,PROD0048,1,2024-09-21,220.21
TXN000002,CUST0152,PROD0005,1,2024-07-31,279.26
TXN000003,CUST0324,PROD0041,1,2024-04-23,142.15
TXN000004,CUST0368,PROD0025,4,2024-09-18,334.88
TXN000005,CUST0317,PROD0040,3,2025-01-21,340.80
TXN000006,CUST0080,PROD0007,2,2025-01-06,420.06
TXN000007,CUST0394,PROD0044,2,2025-03-17,496.80
TXN000008,CUST0064,PROD0049,1,2024-07-17,40.17
TXN000009,CUST0440,PROD0041,4,2024-08-29,568.60
TXN000010,CUST0329,PROD0002,3,2024-09-13,75.63
TXN000011,CUST0145,PROD0011,2,2025-03-02,567.14
TXN000012,CUST0476,PROD0002,2,2025-03-21,50.42
TXN000013,CUST0128,PROD0029,4,2024-08-03,103.32
TXN000014,CUST0155,PROD0033,3,2025-02-13,710.40
TXN000015,CUST0247,PROD0022,4,2024-10-22,1069.96
TXN000016,CUST0028,PROD0043,2,2024-11-04,295.80
TXN000017,CUST0089,PROD0011,2,2024-07-02,567.14
TXN000018,CUST0233,PROD0045,4,2025-01-17,178.12
TXN000019,CUST0419,PROD0041,1,2024-05-24,142.15
TXN000020,CUST0152,PROD0016,2,2024-12-02,193.94
TXN000021,CUST0252,PROD0006,2,2025-01-20,434.08
TXN000022,CUST0059,PROD0019,1,2024-12-03,248.96
TXN000023,CUST0459,PROD0043,3,2024-08-22,443.70
TXN000024,CUST0252,PROD0003,4,2025-03-22,326.64
TXN000025,CUST0141,PROD0023,4,2024-12-09,969.28
TXN000026,CUST0173,PROD0021,4,2024-05-15,547.40
TXN000027,CUST0183,PROD0008,3,2024-08-12,324.69
TXN000028,CUST0212,PROD0034,3,2025-01-26,801.18
TXN000029,CUST0392,PROD0044,3,2025-02-18,745.20
TXN000030,CUST0357,PROD0011,3,2024-09-20,850.71
TXN000031,CUST0436,PROD0035,3,2024-10-15,800.76
TXN000032,CUST0083,PROD0024,4,2025-03-31,1085.96
TXN000033,CUST0170,PROD0032,4,2024-04-26,872.64
TXN000034,CUST0030,PROD0011,2,2024-08-10,567.14
TXN000035,CUST0254,PROD0022,1,2024-09-09,267.49
TXN000036,CUST0076,PROD0002,1,2025-04-07,25.21
TXN000037,CUST0327,PROD0040,2,2025-02-25,227.20
TXN000038,CUST0480,PROD0010,3,2025-04-04,501.96
TXN000039,CUST0143,PROD0046,2,2024-04-17,365.48
TXN000040,CUST0010,PROD0047,4,2024-12-10,90.96
TXN000041,CUST0079,PROD0019,3,2024-08-02,746.88
TXN000042,CUST0151,PROD0027,1,2024-07-21,179.75
TXN000043,CUST0412,PROD0009,2,2024-11-27,415.46
TXN000044,CUST0056,PROD0010,2,2024-12-17,334.64
TXN000045,CUST0131,PROD0012,3,2025-04-02,898.65
TXN000046,CUST0368,PROD0035,1,2024-12-21,266.92
TXN000047,CUST0021,PROD0038,3,2024-05-26,729.75
TXN000048,CUST0384,PROD0022,3,2024-04-27,802.47
TXN000049,CUST0484,PROD0010,3,2024-07-26,501.96
TXN000050,CUST0431,PROD0024,3,2024-08-17,814.47
TXN000051,CUST0059,PROD0050,2,2024-09-21,413.36
TXN000052,CUST0008,PROD0020,2,2024-08-03,430.00
TXN000053,CUST0061,PROD0050,4,2024-11-05,826.72
TXN000054,CUST0129,PROD0013,2,2024-07-06,253.00
TXN000055,CUST0450,PROD0007,3,2025-01-06,630.09
TXN000056,CUST0195,PROD0038,3,2024-09-15,729.75
TXN000057,CUST0277,PROD0046,1,2024-04-24,182.74
TXN000058,CUST0449,PROD0037,2,2025-01-15,145.54
TXN000059,CUST0335,PROD0030,3,2024-11-14,269.37
TXN000060,CUST0068,PROD0028,4,2025-01-29,419.04
TXN000061,CUST0393,PROD0008,4,2024-08-27,432.92
TXN000062,CUST0100,PROD0010,4,2024-05-08,669.28
TXN000063,CUST0397,PROD0045,1,2024-10-17,44.53
TXN000064,CUST0380,PROD0050,2,2024-06-30,413.36
TXN000065,CUST0352,PROD0045,4,2024-08-20,178.12
TXN000066,CUST0149,PROD0022,3,2025-02-28,802.47
TXN000067,CUST0038,PROD0013,2,2024-10-05,253.00
TXN000068,CUST0425,PROD0018,3,2024-09-18,238.62
TXN000069,CUST0083,PROD0043,1,2024-06-29,147.90
TXN000070,CUST0284,PROD0006,4,2024-05-21,868.16
TXN000071,CUST0140,PROD0042,4,2024-11-15,839.88
TXN000072,CUST0328,PROD0027,3,2025-02-16,539.25
TXN000073,CUST0293,PROD0010,3,2024-11-14,501.96
TXN000074,CUST0048,PROD0001,4,2025-02-26,917.96
TXN000075,CUST0447,PROD0037,1,2024-06-08,72.77
TXN000076,CUST0359,PROD0023,4,2024-06-03,969.28
TXN000077,CUST0148,PROD0015,3,2024-06-17,118.14
TXN000078,CUST0476,PROD0020,2,2024-12-03,430.00
TXN000079,CUST0039,PROD0043,2,2024-09-22,295.80
TXN000080,CUST0420,PROD0011,3,2025-01-27,850.71
TXN000081,CUST0130,PROD0011,4,2025-01-11,1134.28
TXN000082,CUST0352,PROD0022,2,2024-09-21,534.98
TXN000083,CUST0303,PROD0005,2,2024-07-15,558.52
TXN000084,CUST0483,PROD0039,2,2025-03-19,441.80
TXN000085,CUST0053,PROD0039,4,2024-09-23,883.60
TXN000086,CUST0372,PROD0046,4,2024-12-26,730.96
TXN000087,CUST0349,PROD0028,1,2024-11-15,104.76
TXN000088,CUST0398,PROD0036,1,2024-08-20,162.11
TXN000089,CUST0497,PROD0036,1,2025-03-27,162.11
TXN000090,CUST0151,PROD0021,1,2025-01-07,136.85
TXN000091,CUST0234,PROD0033,3,2024-11-12,710.40
TXN000092,CUST0232,PROD0015,1,2024-10-30,39.38
TXN000093,CUST0216,PROD0007,3,2024-05-31,630.09
TXN000094,CUST0084,PROD0035,1,2024-06-30,266.92
TXN000095,CUST0332,PROD0041,1,2025-01-18,142.15
TXN000096,CUST0243,PROD0006,4,2024-04-16,868.16
TXN000097,CUST0268,PROD0021,3,2025-03-01,410.55
TXN000098,CUST0032,PROD0021,2,2024-11-25,273.70
TXN000099,CUST0423,PROD0006,1,2024-07-14,217.04
TXN000100,CUST0306,PROD0043,3,2024-08-20,443.70
TXN000101,CUST0401,PROD0016,2,2024-06-11,193.94
TXN000102,CUST0487,PROD0030,2,2024-08-26,179.58
TXN000103,CUST0301,PROD0043,4,2025-02-27,591.60
TXN000104,CUST0249,PROD0030,1,2025-03-01,89.79
TXN000105,CUST0380,PROD0014,1,2024-11-09,27.96
TXN000106,CUST0036,PROD0001,4,2024-08-03,917.96
TXN000107,CUST0059,PROD0010,1,2024-05-26,167.32
TXN000108,CUST0405,PROD0034,4,2025-01-07,1068.24
TXN000109,CUST0225,PROD0009,1,2024-04-26,207.73
TXN000110,CUST0166,PROD0007,4,2025-01-22,840.12
TXN000111,CUST0466,PROD0018,2,2024-08-12,159.08
TXN000112,CUST0320,PROD0044,4,2024-08-05,993.60
TXN000113,CUST0004,PROD0030,4,2025-01-10,359.16
TXN000114,CUST0065,PROD0003,3,2025-02-24,244.98
TXN000115,CUST0455,PROD0005,2,2024-05-03,558.52
TXN000116,CUST0129,PROD0033,4,2025-01-21,947.20
TXN000117,CUST0105,PROD0032,4,2024-10-23,872.64
TXN000118,CUST0445,PROD0009,3,2024-05-22,623.19
TXN000119,CUST0145,PROD0011,2,2024-04-23,567.14
TXN000120,CUST0456,PROD0038,3,2024-10-16,729.75
TXN000121,CUST0255,PROD0001,3,2024-05-22,688.47
TXN000122,CUST0345,PROD0049,3,2024-04-15,120.51
TXN000123,CUST0318,PROD0021,4,2025-02-06,547.40
TXN000124,CUST0236,PROD0006,4,2025-01-17,868.16
TXN000125,CUST0090,PROD0026,4,2024-07-10,107.52
TXN000126,CUST0043,PROD0006,4,2025-01-24,868.16
